Open in Excel for Better user experience.,,,,,,,,,,,,,,,,,,,
Optimal Strategy Training,,,,,,,Random Strategy Training,,,,,,,Menace to Menace Strategy Training,,,,,
Time Stamp,Count,Menace Wins,Menace Lose,Draws,Result,,Time Stamp,Count,Menace Wins,Menace Lose,Draws,Result,,Time Stamp,Count,Menace Wins,Menace Lose,Draws,Result
Fri Apr 22 00:34:29 EDT 2022,2,0,0,1, HumanWins,,Fri Apr 22 00:34:33 EDT 2022,1,0,49,9950, conditionDraw,,Fri Apr 22 00:34:38 EDT 2022,1,9154,190,10654, conditionDraw
Fri Apr 22 00:34:29 EDT 2022,3,0,1,1, HumanWins,,Fri Apr 22 00:34:33 EDT 2022,2,0,49,9951, MenaceWins,,Fri Apr 22 00:34:38 EDT 2022,2,9154,190,10655, MenaceWins
Fri Apr 22 00:34:29 EDT 2022,4,0,2,1, HumanWins,,Fri Apr 22 00:34:33 EDT 2022,3,1,49,9951, MenaceWins,,Fri Apr 22 00:34:38 EDT 2022,3,9155,190,10655, MenaceWins
Fri Apr 22 00:34:29 EDT 2022,5,0,3,1, HumanWins,,Fri Apr 22 00:34:33 EDT 2022,4,2,49,9951, HumanWins,,Fri Apr 22 00:34:38 EDT 2022,4,9156,190,10655, MenaceWins
Fri Apr 22 00:34:29 EDT 2022,6,0,4,1, HumanWins,,Fri Apr 22 00:34:33 EDT 2022,5,2,50,9951, MenaceWins,,Fri Apr 22 00:34:38 EDT 2022,5,9157,190,10655, MenaceWins
Fri Apr 22 00:34:29 EDT 2022,7,0,5,1, HumanWins,,Fri Apr 22 00:34:33 EDT 2022,6,3,50,9951, MenaceWins,,Fri Apr 22 00:34:38 EDT 2022,6,9158,190,10655, MenaceWins
Fri Apr 22 00:34:29 EDT 2022,8,0,6,1, HumanWins,,Fri Apr 22 00:34:33 EDT 2022,7,4,50,9951, MenaceWins,,Fri Apr 22 00:34:38 EDT 2022,7,9159,190,10655, MenaceWins
Fri Apr 22 00:34:29 EDT 2022,9,0,7,1, HumanWins,,Fri Apr 22 00:34:33 EDT 2022,8,5,50,9951, MenaceWins,,Fri Apr 22 00:34:38 EDT 2022,8,9160,190,10655, MenaceWins
Fri Apr 22 00:34:29 EDT 2022,10,0,8,1, HumanWins,,Fri Apr 22 00:34:33 EDT 2022,9,6,50,9951, MenaceWins,,Fri Apr 22 00:34:38 EDT 2022,9,9161,190,10655, MenaceWins
Fri Apr 22 00:34:29 EDT 2022,11,0,9,1, HumanWins,,Fri Apr 22 00:34:33 EDT 2022,10,7,50,9951, conditionDraw,,Fri Apr 22 00:34:38 EDT 2022,10,9162,190,10655, MenaceWins
Fri Apr 22 00:34:29 EDT 2022,12,0,10,1, conditionDraw,,Fri Apr 22 00:34:33 EDT 2022,11,7,50,9952, conditionDraw,,Fri Apr 22 00:34:38 EDT 2022,11,9163,190,10655, MenaceWins
Fri Apr 22 00:34:29 EDT 2022,13,0,10,2, HumanWins,,Fri Apr 22 00:34:33 EDT 2022,12,7,50,9953, MenaceWins,,Fri Apr 22 00:34:38 EDT 2022,12,9164,190,10655, MenaceWins
Fri Apr 22 00:34:29 EDT 2022,14,0,11,2, HumanWins,,Fri Apr 22 00:34:33 EDT 2022,13,8,50,9953, MenaceWins,,Fri Apr 22 00:34:38 EDT 2022,13,9165,190,10655, MenaceWins
Fri Apr 22 00:34:29 EDT 2022,15,0,12,2, HumanWins,,Fri Apr 22 00:34:33 EDT 2022,14,9,50,9953, MenaceWins,,Fri Apr 22 00:34:38 EDT 2022,14,9166,190,10655, MenaceWins
Fri Apr 22 00:34:29 EDT 2022,16,0,13,2, HumanWins,,Fri Apr 22 00:34:33 EDT 2022,15,10,50,9953, conditionDraw,,Fri Apr 22 00:34:38 EDT 2022,15,9167,190,10655, MenaceWins
Fri Apr 22 00:34:29 EDT 2022,17,0,14,2, HumanWins,,Fri Apr 22 00:34:33 EDT 2022,16,10,50,9954, MenaceWins,,Fri Apr 22 00:34:38 EDT 2022,16,9168,190,10655, MenaceWins
Fri Apr 22 00:34:29 EDT 2022,18,0,15,2, conditionDraw,,Fri Apr 22 00:34:33 EDT 2022,17,11,50,9954, HumanWins,,Fri Apr 22 00:34:38 EDT 2022,17,9169,190,10655, HumanWins
Fri Apr 22 00:34:29 EDT 2022,19,0,15,3, HumanWins,,Fri Apr 22 00:34:33 EDT 2022,18,11,51,9954, conditionDraw,,Fri Apr 22 00:34:38 EDT 2022,18,9169,191,10655, MenaceWins
Fri Apr 22 00:34:29 EDT 2022,20,0,16,3, conditionDraw,,Fri Apr 22 00:34:33 EDT 2022,19,11,51,9955, MenaceWins,,Fri Apr 22 00:34:38 EDT 2022,19,9170,191,10655, MenaceWins
Fri Apr 22 00:34:29 EDT 2022,21,0,16,4, HumanWins,,Fri Apr 22 00:34:33 EDT 2022,20,12,51,9955, MenaceWins,,Fri Apr 22 00:34:38 EDT 2022,20,9171,191,10655, MenaceWins
Fri Apr 22 00:34:29 EDT 2022,22,0,17,4, conditionDraw,,Fri Apr 22 00:34:33 EDT 2022,21,13,51,9955, MenaceWins,,Fri Apr 22 00:34:38 EDT 2022,21,9172,191,10655, MenaceWins
Fri Apr 22 00:34:29 EDT 2022,23,0,17,5, HumanWins,,Fri Apr 22 00:34:33 EDT 2022,22,14,51,9955, MenaceWins,,Fri Apr 22 00:34:38 EDT 2022,22,9173,191,10655, MenaceWins
Fri Apr 22 00:34:29 EDT 2022,24,0,18,5, conditionDraw,,Fri Apr 22 00:34:33 EDT 2022,23,15,51,9955, MenaceWins,,Fri Apr 22 00:34:38 EDT 2022,23,9174,191,10655, MenaceWins
Fri Apr 22 00:34:29 EDT 2022,25,0,18,6, conditionDraw,,Fri Apr 22 00:34:33 EDT 2022,24,16,51,9955, HumanWins,,Fri Apr 22 00:34:38 EDT 2022,24,9175,191,10655, conditionDraw
Fri Apr 22 00:34:29 EDT 2022,26,0,18,7, HumanWins,,Fri Apr 22 00:34:33 EDT 2022,25,16,52,9955, MenaceWins,,Fri Apr 22 00:34:38 EDT 2022,25,9175,191,10656, MenaceWins
Fri Apr 22 00:34:29 EDT 2022,27,0,19,7, HumanWins,,Fri Apr 22 00:34:33 EDT 2022,26,17,52,9955, conditionDraw,,Fri Apr 22 00:34:38 EDT 2022,26,9176,191,10656, MenaceWins
Fri Apr 22 00:34:29 EDT 2022,28,0,20,7, conditionDraw,,Fri Apr 22 00:34:33 EDT 2022,27,17,52,9956, MenaceWins,,Fri Apr 22 00:34:38 EDT 2022,27,9177,191,10656, MenaceWins
Fri Apr 22 00:34:29 EDT 2022,29,0,20,8, HumanWins,,Fri Apr 22 00:34:33 EDT 2022,28,18,52,9956, HumanWins,,Fri Apr 22 00:34:38 EDT 2022,28,9178,191,10656, MenaceWins
Fri Apr 22 00:34:29 EDT 2022,30,0,21,8, HumanWins,,Fri Apr 22 00:34:33 EDT 2022,29,18,53,9956, MenaceWins,,Fri Apr 22 00:34:38 EDT 2022,29,9179,191,10656, MenaceWins
Fri Apr 22 00:34:29 EDT 2022,31,0,22,8, conditionDraw,,Fri Apr 22 00:34:33 EDT 2022,30,19,53,9956, MenaceWins,,Fri Apr 22 00:34:38 EDT 2022,30,9180,191,10656, MenaceWins
Fri Apr 22 00:34:29 EDT 2022,32,0,22,9, conditionDraw,,Fri Apr 22 00:34:33 EDT 2022,31,20,53,9956, MenaceWins,,Fri Apr 22 00:34:38 EDT 2022,31,9181,191,10656, MenaceWins
Fri Apr 22 00:34:29 EDT 2022,33,0,22,10, HumanWins,,Fri Apr 22 00:34:33 EDT 2022,32,21,53,9956, MenaceWins,,Fri Apr 22 00:34:38 EDT 2022,32,9182,191,10656, MenaceWins
Fri Apr 22 00:34:29 EDT 2022,34,0,23,10, conditionDraw,,Fri Apr 22 00:34:33 EDT 2022,33,22,53,9956, MenaceWins,,Fri Apr 22 00:34:38 EDT 2022,33,9183,191,10656, MenaceWins
Fri Apr 22 00:34:29 EDT 2022,35,0,23,11, HumanWins,,Fri Apr 22 00:34:33 EDT 2022,34,23,53,9956, MenaceWins,,Fri Apr 22 00:34:38 EDT 2022,34,9184,191,10656, MenaceWins
Fri Apr 22 00:34:29 EDT 2022,36,0,24,11, HumanWins,,Fri Apr 22 00:34:33 EDT 2022,35,24,53,9956, MenaceWins,,Fri Apr 22 00:34:38 EDT 2022,35,9185,191,10656, MenaceWins
Fri Apr 22 00:34:29 EDT 2022,37,0,25,11, HumanWins,,Fri Apr 22 00:34:33 EDT 2022,36,25,53,9956, MenaceWins,,Fri Apr 22 00:34:38 EDT 2022,36,9186,191,10656, MenaceWins
Fri Apr 22 00:34:29 EDT 2022,38,0,26,11, conditionDraw,,Fri Apr 22 00:34:33 EDT 2022,37,26,53,9956, HumanWins,,Fri Apr 22 00:34:38 EDT 2022,37,9187,191,10656, MenaceWins
Fri Apr 22 00:34:29 EDT 2022,39,0,26,12, HumanWins,,Fri Apr 22 00:34:33 EDT 2022,38,26,54,9956, HumanWins,,Fri Apr 22 00:34:38 EDT 2022,38,9188,191,10656, MenaceWins
